"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC","_WARN_","I_BAD","U_BAD","P_BAD1","P_BAD0","EM_EVENTPROBABILITY","EM_PROBABILITY","EM_CLASSIFICATION"
"           1","        1100","       25860","       39025","HomeImp","Other","        10.5","           0","           0","94.366666667","           1","           9","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        1300","       70053","       68400","HomeImp","Other","           7","           0","           2","121.83333333","           0","          14","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        1500","       13500","       16700","HomeImp","Other","           4","           0","           0","149.46666667","           1","          10","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        1500","           .","           .","","","           .","           .","           .","           .","           .","           .","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        1700","       97800","      112000","HomeImp","Office","           3","           0","           0","93.333333333","           0","          14","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        1700","18782.569732","       40320","HomeImp","Other","           9","           0","           0","101.46600191","           1","           8","37.113613558","","0","           0"," 0.143348649"," 0.856651351"," 0.143348649"," 0.856651351","0"
"           1","        1800","       48649","       57037","HomeImp","Other","           5","           3","           2","        77.1","           1","          17","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","195.81948127","       28502","       43034","HomeImp","Other","          11","           0","           0","88.766029879","           0","           8","36.884894093","","0","           0","0.1247275719","0.8752724281","0.1247275719","0.8752724281","0"
"           1","        2000","       32700","       46740","HomeImp","Other","           3","           0","           2","216.93333333","           1","          12","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2000","           .","       62250","HomeImp","Sales","          16","           0","           0","       115.8","           0","          13","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2000","       22608","           .","","","          18","           .","           .","           .","           .","           .","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2000","1488.1738572","       29800","HomeImp","Office","          11","           0","           1","122.53333333","           1","           9","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2000","       45000","       55000","HomeImp","Other","           3","           0","           0","86.066666667","           2","          25","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        2000","       64536"," 54830.54653","","Mgr","         2.5","           0","           0","147.13333333","           0","          24","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","1063.6296597","       71000","       83850","HomeImp","Other","           8","           0","           1","         123","           0","          16","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           0","        2200","5805.7430745","29293.941583","HomeImp","Other","           .","           0","           1","300.86666667","           0","           8","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2200","       90957","      102600","HomeImp","Mgr","           7","           2","           6","       122.9","           1","          22","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2200","       23030","           .","","","          19","           .","           .","           .","           .","           .","3.7113122995","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
"           1","        2300","       28192","       40150","HomeImp","Other","         4.5","           0","           0","        54.6","           1","          16","           .","M","0","           0","0.1061499579","0.8938500421","0.1061499579","0.8938500421","0"
